date,site,topic,summary
2026-04-30,TC,Phase 4 — telephone-pole props,"Built CSS pole + crossbars + wire + clothespin + hung-sprite system for /timeline mid+fore content. 6 props wired across 1985–2002 events (kodak-projector, rotary phone, boom-box, cabin, diner-sign, Winnebago). Shipped as commit 7953a63, theme version 1.0.151. Established that V0.0X build-log files are written only on Thomas's explicit request, not at session end. Established this CSV diary at C:\Users\thoma\Documents\Claude-Diary\diary.csv (one row per session, four columns: date/site/topic/summary)."
2026-04-30,TC,Phase 4 follow-up — simplify props + z-fix + content tweaks,"Stripped pole/crossbars/wire/clothespin chrome; props are now a short wooden stake + sprite mounted on top. Moved .timeline-props z-index 6→3 so road renders in front of stakes (fixes the depth-confusion Thomas saw where stakes looked like they floated above the road). Removed the Welcome-to-Spirit-River sign marker. Reassigned mom-and-brian.jpg from the 1993 LaGlace event (where it was mislabeled) to a new 2015 event 'Grand Parents visiting to help out' at pos 0.765. Shipped as commit 6e41df4, theme version 1.0.152."
2026-04-30,TC,Phase 4 reset — straighten road + abandon poles,"Trade the biographical road curves for a flat track and a predictable grid. Road: M 0 540 L 12000 540 (was 14 cubic-Bezier segments). Lead-out: y=440 -> y=540 for continuity. Jeep: dropped the binary-search getPointAtLength code that fed --jeep-road-y each frame; CSS bottom is now constant 6vh. Shrink + slide-left at 0.74 -> 0.78 still happens. Props: stake DOM/CSS dropped, sprite sits directly on ground at road point. Markers: dropped the post pseudo-element on highway, image-sign, and base marker — signs float as billboards at windshield height with no pole to road. Net -100 lines. Shipped as commit 04c24fe, theme version 1.0.153."
2026-04-30,TC,Phase 4 spike — GSAP MotionPath jeep + smaller jeep + curves back,"Pin the jeep to the road via GSAP MotionPath instead of vanilla binary-search math. Enqueued MotionPathPlugin 3.12.2 from cdnjs (GSAP core + ScrollTrigger were already loaded). New positionJeep() in main.js uses MotionPathPlugin.getPositionOnPath to sample road path at easedProgress - 0.0833 (the path point currently passing viewport-center) and feeds CSS vars --jeep-x, --jeep-y, --jeep-rot. Restored modest curves on road (y range 460-540, ~8vh swing). Shrunk jeep from 82vw to 30vw so it reads as vehicle-on-road not diorama-centerpiece. Decoupled markers + props from road y (constant 94vh) so road can curve above/below them without dragging signs/sprites along. Shipped as commit 91f2b87, theme version 1.0.154."
2026-05-01,TC,Phase 4 spike fix — tilt actually lands,"Two bugs from the V0.05+++ spike. (1) Prior commit message claimed version bump 1.0.153 -> 1.0.154 but the style.css Version line stayed at 1.0.153, so cache-buster didn't change and browsers re-served the pre-spike main.js (no positionJeep() function) — explains why jeep stayed flat. (2) MotionPathPlugin.getPositionOnPath returned angle in path-local viewBox coord space (20000x600), where dy/dx is tiny even when on-screen tangent is steep. Replaced with vanilla getPointAtLength + manual atan2 of pixel deltas after slice-aspect scaling. Also dropped the 0.04s transition on jeep transform. MotionPathPlugin still enqueued for potential later use. Shipped as commit b2a0e50, theme version 1.0.154 (now actually live)."
2026-05-01,TC,Phase 4 spike fix #2 — jeep tilt sane,"Thomas screenshots showed jeep doing gymnastics — at Turner Valley it was nearly vertical (front-down). Two stacked bugs. (1) Wrong screen-coord conversion: I was using rect.width/vbox.width as x-scale but the SVG uses preserveAspectRatio=xMinYMax slice, which scales uniformly at max(naiveX, naiveY). Replaced naive scale calc with the canonical SVG approach: path.getScreenCTM() + point.matrixTransform(ctm). Handles viewBox + aspect-ratio + parent transforms in one matrix call. (2) No safety cap on displayed angle — chained Bezier S commands produce locally steep tangents that tipped the jeep onto its nose. Capped angle to ±10°. Shipped as commit 0803e3d, theme version 1.0.155."
2026-05-01,TC,Phase 4 spike fix #3 — jeep back on screen,"Previous fix used getScreenCTM to convert path coords to screen pixels — technically correct for slice preserveAspectRatio but the roads CSS layout was designed against the NAIVE scale (rect.width/vbox.width = 0.48 px/unit), so the jeep ended up several thousand pixels off-screen at the technically-right position. Browsers seem to render the path at naive scale when CSS dimensions are explicit. Reverted jeep position calc to use the same naive scale the road visually uses; kept the ±10° angle cap so wild local Bezier tangents (chained S commands) cannot tip the jeep over. Shipped as commit 5d7a994, theme version 1.0.156."
2026-05-01,TC,Phase 4 spike fix #4 — drop rotation + simplify road,"After three coord-conversion fixes the jeep was still acting nuts on small bumps. Two changes: (1) Simplified road from 14 chained Bezier S segments (compounding local tangent wildness) to 3 explicit Q-quadratic bumps separated by L straight sections. Predictable, matches what reader sees. (2) Dropped jeep rotation from CSS transform — even capped at ±10° the per-micro-bump tilting read as noise. Jeep now stays level, just follows road Y. JS still computes --jeep-rot but unused (easy to re-add with smaller multiplier later). Shipped as commit 3985ea4, theme version 1.0.157."
2026-05-01,TC,Sign stagger — Major's lifted above T71,"Township 71 (pos 0.71) and Major's (pos 0.775) sit close enough on the road that both highway signs were visible simultaneously at the same windshield height — Major's covered most of T71 in Thomas's screenshot. Added offset 120 to Major's mark so it raises 120px above the default windshield height. Both signs now readable. Same per-marker --m-offset pattern Turner Valley uses (offset 60). Shipped as commit c43f184, theme version 1.0.158."
2026-05-01,TC,Highway signs — real-highway layout + Turner/Teepee stagger,"Two related fixes. (1) Highway signs now have real-highway-style layout — place name on left, distance on right, with space between. Split the single text field into two: text (name only) and new distance field. PHP renders two spans inside .timeline-marker__text; CSS makes text container flex with justify-content space-between. Distance gets slight letter-spacing so it reads as a figure. Updated all 5 highway marks. (2) Turner Valley + Teepee Creek were overlapping (same problem as T71/Majors). Turner Valley dropped from offset 60 to 0; Teepee Creek added offset 160. Same pattern as Major's 160 over T71 0 — approaching sign sits higher. Shipped as commit ace6da9, theme version 1.0.159."
